,time,open,high,low,close,tick_volume,spread,real_volume
30834,2018-03-29 11:00:00,106.568,106.658,106.534,106.653,4769,1,0
30835,2018-03-29 12:00:00,106.653,106.678,106.597,106.635,4443,1,0
30836,2018-03-29 13:00:00,106.634,106.651,106.554,106.561,3434,1,0
30837,2018-03-29 14:00:00,106.562,106.573,106.454,106.511,4065,1,0
30838,2018-03-29 15:00:00,106.51,106.565,106.413,106.535,6181,1,0
30839,2018-03-29 16:00:00,106.535,106.543,106.313,106.359,7348,1,0
30840,2018-03-29 17:00:00,106.358,106.44,106.305,106.35,10397,1,0
30841,2018-03-29 18:00:00,106.349,106.408,106.266,106.343,8983,1,0
30842,2018-03-29 19:00:00,106.343,106.439,106.264,106.422,6312,1,0
30843,2018-03-29 20:00:00,106.423,106.479,106.392,106.455,4476,1,0
30844,2018-03-29 21:00:00,106.455,106.562,106.395,106.501,5216,1,0
30845,2018-03-29 22:00:00,106.5,106.571,106.391,106.407,5025,1,0
30846,2018-03-29 23:00:00,106.407,106.454,106.392,106.419,3348,2,0
30847,2018-03-30 00:00:00,106.42,106.486,106.406,106.481,4432,5,0
30848,2018-03-30 01:00:00,106.482,106.532,106.456,106.477,3732,1,0
30849,2018-03-30 02:00:00,106.489,106.506,106.4,106.486,5028,1,0
30850,2018-03-30 03:00:00,106.486,106.509,106.226,106.284,7521,1,0
30851,2018-03-30 04:00:00,106.282,106.333,106.141,106.167,7156,1,0
30852,2018-03-30 05:00:00,106.167,106.236,106.137,106.212,8989,1,0
30853,2018-03-30 06:00:00,106.213,106.449,106.2,106.326,7796,1,0
30854,2018-03-30 07:00:00,106.326,106.367,106.259,106.265,8700,1,0
30855,2018-03-30 08:00:00,106.268,106.274,106.129,106.163,5591,1,0
30856,2018-03-30 09:00:00,106.163,106.348,106.134,106.183,5726,1,0
30857,2018-03-30 10:00:00,106.183,106.191,106.133,106.184,1399,1,0
30858,2018-03-30 11:00:00,106.184,106.239,106.166,106.171,1395,3,0
30859,2018-03-30 12:00:00,106.17,106.174,106.118,106.168,2007,3,0
30860,2018-03-30 13:00:00,106.168,106.2,106.165,106.196,883,4,0
30861,2018-03-30 14:00:00,106.196,106.213,106.165,106.195,2284,5,0
30862,2018-03-30 15:00:00,106.196,106.209,106.167,106.169,2026,4,0
30863,2018-03-30 16:00:00,106.171,106.235,106.168,106.21,5752,1,0
30864,2018-03-30 17:00:00,106.211,106.233,106.193,106.203,3555,2,0
30865,2018-03-30 18:00:00,106.201,106.217,106.156,106.216,3244,3,0
30866,2018-03-30 19:00:00,106.216,106.223,106.189,106.211,1990,6,0
30867,2018-03-30 20:00:00,106.212,106.226,106.194,106.225,1606,6,0
30868,2018-03-30 21:00:00,106.222,106.238,106.208,106.223,3050,4,0
30869,2018-03-30 22:00:00,106.223,106.259,106.211,106.255,2142,6,0
30870,2018-03-30 23:00:00,106.254,106.289,106.237,106.279,2884,12,0
30871,2018-04-02 00:00:00,106.165,106.268,106.162,106.226,202,14,0
30872,2018-04-02 01:00:00,106.246,106.399,106.246,106.301,5382,2,0
30873,2018-04-02 02:00:00,106.301,106.349,106.247,106.317,3120,2,0
30874,2018-04-02 03:00:00,106.318,106.368,106.184,106.281,6888,1,0
30875,2018-04-02 04:00:00,106.281,106.381,106.227,106.337,5569,1,0
30876,2018-04-02 05:00:00,106.336,106.35,106.28,106.325,3702,1,0
30877,2018-04-02 06:00:00,106.325,106.389,106.303,106.357,2650,1,0
30878,2018-04-02 07:00:00,106.358,106.37,106.303,106.329,2703,2,0
30879,2018-04-02 08:00:00,106.328,106.377,106.3,106.312,3049,1,0
30880,2018-04-02 09:00:00,106.311,106.363,106.284,106.329,2326,2,0
30881,2018-04-02 10:00:00,106.33,106.331,106.276,106.29,1892,1,0
30882,2018-04-02 11:00:00,106.289,106.318,106.266,106.282,1349,1,0
30883,2018-04-02 12:00:00,106.282,106.292,106.261,106.291,705,2,0
30884,2018-04-02 13:00:00,106.292,106.316,106.284,106.284,1016,3,0
30885,2018-04-02 14:00:00,106.286,106.308,106.263,106.278,1845,1,0
30886,2018-04-02 15:00:00,106.278,106.428,106.266,106.427,4070,1,0
30887,2018-04-02 16:00:00,106.425,106.448,106.338,106.353,7392,1,0
30888,2018-04-02 17:00:00,106.348,106.437,106.207,106.217,11374,1,0
30889,2018-04-02 18:00:00,106.218,106.228,105.94,105.994,14029,1,0
30890,2018-04-02 19:00:00,105.995,106.121,105.987,106.013,9739,1,0
30891,2018-04-02 20:00:00,106.012,106.035,105.666,105.667,9715,1,0
30892,2018-04-02 21:00:00,105.665,105.871,105.656,105.846,9560,1,0
30893,2018-04-02 22:00:00,105.846,105.945,105.82,105.895,8421,1,0
30894,2018-04-02 23:00:00,105.896,105.947,105.879,105.879,2244,1,0
30895,2018-04-03 00:00:00,105.879,105.909,105.813,105.844,7307,3,0
30896,2018-04-03 01:00:00,105.844,105.887,105.833,105.835,1617,3,0
30897,2018-04-03 02:00:00,105.835,105.848,105.738,105.794,2832,1,0
30898,2018-04-03 03:00:00,105.795,105.853,105.69,105.804,6710,1,0
30899,2018-04-03 04:00:00,105.804,105.937,105.798,105.861,6239,1,0
30900,2018-04-03 05:00:00,105.862,105.951,105.819,105.903,3523,1,0
30901,2018-04-03 06:00:00,105.904,105.975,105.866,105.946,3350,1,0
30902,2018-04-03 07:00:00,105.946,105.975,105.92,105.934,2544,1,0
30903,2018-04-03 08:00:00,105.934,106.035,105.872,105.986,4729,1,0
30904,2018-04-03 09:00:00,105.986,106.067,105.755,105.894,8248,1,0
30905,2018-04-03 10:00:00,105.893,106.093,105.891,106.042,7285,1,0
30906,2018-04-03 11:00:00,106.042,106.193,106.038,106.097,5771,1,0
30907,2018-04-03 12:00:00,106.097,106.206,106.056,106.201,4423,1,0
30908,2018-04-03 13:00:00,106.201,106.267,106.127,106.196,4561,1,0
30909,2018-04-03 14:00:00,106.2,106.272,106.16,106.248,4946,1,0
30910,2018-04-03 15:00:00,106.248,106.302,106.202,106.295,5413,1,0
30911,2018-04-03 16:00:00,106.295,106.573,106.267,106.464,10681,1,0
30912,2018-04-03 17:00:00,106.464,106.592,106.38,106.556,11189,1,0
30913,2018-04-03 18:00:00,106.555,106.577,106.437,106.439,8591,1,0
30914,2018-04-03 19:00:00,106.438,106.497,106.39,106.44,4009,1,0
30915,2018-04-03 20:00:00,106.44,106.576,106.406,106.559,3702,1,0
30916,2018-04-03 21:00:00,106.559,106.577,106.419,106.57,4737,1,0
30917,2018-04-03 22:00:00,106.57,106.656,106.533,106.646,6765,1,0
30918,2018-04-03 23:00:00,106.647,106.652,106.59,106.603,1267,1,0
30919,2018-04-04 00:00:00,106.603,106.654,106.588,106.588,4866,7,0
30920,2018-04-04 01:00:00,106.589,106.615,106.492,106.504,1828,3,0
30921,2018-04-04 02:00:00,106.504,106.546,106.423,106.441,1414,1,0
30922,2018-04-04 03:00:00,106.445,106.589,106.408,106.521,4231,1,0
30923,2018-04-04 04:00:00,106.523,106.585,106.43,106.514,4236,1,0
30924,2018-04-04 05:00:00,106.514,106.545,106.458,106.476,2552,1,0
30925,2018-04-04 06:00:00,106.476,106.559,106.464,106.507,2050,1,0
30926,2018-04-04 07:00:00,106.507,106.547,106.484,106.539,1373,1,0
30927,2018-04-04 08:00:00,106.539,106.591,106.496,106.54,2221,1,0
30928,2018-04-04 09:00:00,106.542,106.685,106.529,106.65,2614,1,0
30929,2018-04-04 10:00:00,106.65,106.65,106.191,106.204,6272,1,0
30930,2018-04-04 11:00:00,106.204,106.221,105.989,106.196,8362,1,0
30931,2018-04-04 12:00:00,106.197,106.211,106.106,106.168,3547,1,0
30932,2018-04-04 13:00:00,106.168,106.175,105.991,106.135,4485,1,0
30933,2018-04-04 14:00:00,106.135,106.247,106.124,106.174,3886,1,0
30934,2018-04-04 15:00:00,106.174,106.277,106.12,106.248,5841,1,0
30935,2018-04-04 16:00:00,106.248,106.355,106.186,106.319,7661,1,0
30936,2018-04-04 17:00:00,106.32,106.566,106.237,106.551,9126,1,0
30937,2018-04-04 18:00:00,106.551,106.628,106.471,106.558,5835,1,0
30938,2018-04-04 19:00:00,106.558,106.648,106.535,106.616,4278,1,0
30939,2018-04-04 20:00:00,106.616,106.622,106.508,106.571,3549,1,0
30940,2018-04-04 21:00:00,106.572,106.802,106.572,106.735,4976,1,0
